gene,mean_z,n
GPRC5C,1.315384249256024,2
MAPT,1.3145671180337724,2
FANCE,1.3136743770726493,2
CYP4F17,1.3131514723718498,2
SUCLG1,1.312620641151738,2
GRIN3A,1.3116807414867169,2
DOK5,1.3113174230334308,2
GRTP1,1.3109792703713772,2
ZFP462,1.310591137535795,2
DZANK1,1.3103399538756424,2
4930471C04RIK,1.3102071184832993,2
PPP1R1A,1.309567895538481,2
IMMP2L,1.3088460151242698,2
KCTD2,1.3087123839594743,2
COL11A2,1.3084982609298121,2
PPIL1,1.308490034251299,2
INSYN2B,1.308468965958956,2
NT5C2,1.307729192877642,2
CRKL,1.307704143614508,2
FASTK,1.3068383268661674,2
OAS1G,1.3058383638924291,2
HAX1,1.3055839452873175,2
ATG5,1.3055308141803121,2
G3BP1,1.30527351767696,2
SLC2A4,1.3050793738154187,2
BRF2,1.3036473558650619,2
CRYBB1,1.3026677969042717,2
SH3RF2,1.3025183019992084,2
VWA3A,1.3024637129527936,2
INTS1,1.301035636459886,2
ROMO1,1.3003733450790578,2
CASP8AP2,1.2996264403620155,2
PFDN1,1.297233095551706,2
MSL1,1.2971554928718696,2
GPT2,1.297003712867524,2
DLEU2,1.2962595301256163,2
TAGLN3,1.2941436288831116,2
KDM4A,1.2932046181739332,2
FOXP4,1.2931063220242476,2
EIF3K,1.293083713737224,2
RPS21,1.2929779815924478,2
RPL37|RPL37RT,1.2921392133128695,2
POMK,1.2914164734282658,2
TMIE,1.2911029229475588,2
GPN2,1.2893809811412424,2
HPCAL1,1.288599417355321,2
RPS6,1.2883130757903236,2
POP5,1.2879977441928376,2
RAD51C,1.287824569294901,2
ATP1A2,1.287424533044367,2
ATXN7L3,1.2870502875781387,2
PVT1,1.2869844892140123,2
GCLM,1.2862715631331938,2
CRTC3,1.2858422351523897,2
MDGA1,1.2845986445641917,2
JTB,1.284123173116783,2
1110046J04RIK,1.2840585701035638,2
SAMD14,1.2840156006250183,2
OR2Y1G,1.2834234257616564,2
GM4841,1.283065032655493,2
DNMBP,1.2828182445936376,2
DDX19B,1.2821017975798736,2
ADORA2A,1.2818824882267519,2
MYO18A,1.2818624265115615,2
NENF,1.2815056930275825,2
SAP30,1.280439488571399,2
D430041D05RIK,1.2798467231666244,2
PARVB,1.2798078232413388,2
RPS15,1.2793811848004277,2
BUD31,1.2789900748959804,2
DDT,1.27892446514066,2
OTUB2,1.2787138272189076,2
HCK,1.2783492321468861,2
TAFA5,1.2771690365356403,2
RBFOX3,1.2770723075565087,2
WSCD1,1.276990001203687,2
IRF6,1.2768666639769413,2
NCBP1,1.2766087090383864,2
ATG4D,1.275341988558873,2
GM4811,1.2741018125804984,2
GULP1,1.273689649712854,2
KIF22,1.273530792733339,2
RASGRP1,1.2723538972448896,2
HPSE,1.2721967269503756,2
H2BC4,1.2721257616418606,2
CISD3,1.2716807974458129,2
RPS10,1.2705814254455923,2
PABPN1,1.270184628778042,2
MED24,1.26893597284315,2
FBXO36,1.267765175023357,2
MAF,1.2676853402907389,2
FST,1.2673174430382985,2
PIGU,1.2671406594380863,2
ZNRF3,1.2670677677694533,2
BHLHE40,1.2667029902021965,2
MRM3,1.266625513398316,2
NFKBIA,1.2662703714349939,2
TBC1D20,1.2656519262210884,2
KATNA1,1.2652066391066263,2
RTKN2,1.2639433637577624,2
TRPV3,1.2629232297304704,2
GM12918,1.2627366074629198,2
GPC4,1.2622162943235953,2
ZC3H12C,1.2620956727058688,2
CDH15,1.2596077191306883,2
PQBP1,1.2591167648892674,2
MFSD4B1,1.2582497002812179,2
HILPDA,1.2581259474334179,2
GM13446,1.2552574362020459,2
GM36201,1.255233478518881,2
ZFTRAF1,1.2546795218128346,2
GLIS1,1.254011972943475,2
NADK,1.2532180993104656,2
SPAG5,1.252820035329399,2
SART1,1.2525913241799882,2
RBM34,1.2510996029284978,2
SNRPF,1.2508583507548905,2
GM6316,1.2501460708679486,2
TAF10,1.249077737835068,2
GM19299,1.2479548568186258,2
WDR73,1.247823734803974,2
NR2C2AP,1.247386904919565,2
AACS,1.2469389729872207,2
LSM7,1.24670871540693,2
OPN1SW,1.2466144460991375,2
DTX4,1.2458951014302841,2
GYPC,1.2457821569258294,2
TNNI2,1.2449577893182702,2
MYF6,1.2448133423863181,2
MRPL10,1.244253141142125,2
DBNL,1.244119737525797,2
BCL3,1.2438606756232844,2
H2AL1M,1.2433763095941428,2
PLD2,1.2423399331751173,2
ABHD17A,1.2420271012944257,2
CATSPERG1,1.241978578764301,2
HEXIM2,1.2418538845490195,2
GTF2H4,1.2408519065285313,2
DHRS7C,1.239558382797951,2
GM5431,1.238805498751994,2
FBXW17,1.2387265036379183,2
CHIA1,1.2387149766893977,2
ZFHX3,1.2383613528064483,2
OPA3,1.2381758620037353,2
CMC2,1.2370436244950804,2
NPEPPS,1.2370169005757101,2
