gene,mars_delta,mars_se,iss_delta,iss_se,mars_over_iss
ACP5,69.40528510167752,114.0827576473464,-0.8460483499356,3.2501542170904663,-82.0346557108238
CNN1,-0.5877291520668919,136.86667149483,0.3364102781603857,3.8992552311291737,-1.747060628708521
FBXO9,-5.510108439795292,34.9428657138194,-0.4570616261348041,0.9955027797282354,12.055504388745515
VPS50,-15.346217361170797,18.90302903729208,-0.2986534271346245,0.5385367675916048,51.384702022030226
HARS1,-2.0001826599994175,17.095025049487802,0.694315966771581,0.4870277411036295,-2.880796000270358
ZMAT2,23.494346887771652,49.20327375011922,1.867755846983801,1.4017738611118384,12.578917595526296
UBE2C,114.35925686275426,122.7564762841751,1.898681127540933,3.497263629474141,60.23089143508055
SMG5,4.112648338417928,20.02777725179851,0.2958824613059783,0.5705802176968635,13.899601619728829
CCT3,24.683719169027366,18.51283579740228,0.08451668888328276,0.5274203795390978,292.0573379668895
GLMP,-10.88311673339686,33.344320574377136,-0.47547233020448043,0.9499611191538297,22.889064288381398
MEF2D,7.996439420023851,35.01609920897947,0.8842547304505387,0.9975891612116019,9.043140109580829
TMEM79,19.11437343683765,85.73927231116691,-0.7286650921707923,2.4426641082241485,-26.232042185379477
SND1,27.28468969308488,46.54967298222949,2.415191751212307,1.3261742533876628,11.29711116286701
COL18A1,27.041799162709594,70.67754419560411,0.06403875960643424,2.0135638641470357,422.2723758064888
SLC19A1,-9.106767499666795,35.22931502982269,0.372051409128926,1.0036635611783957,-24.47717513283507
KPNB1,36.26511308463701,29.929179173720026,1.5128229784680662,0.8526656430081915,23.971815341779276
NPEPPS,11.770746541208842,24.56474506708029,0.15808160879885658,0.6998359034966781,74.45993642553302
TBX21,35.54742043673083,130.01004548680825,-0.06397158704773886,3.7039137755529343,-555.6751376232628
MRPL10,7.941365030418727,20.758407848348213,-0.5788104235249132,0.5913954764045107,-13.720148614560868
CYP51,1.8055331434033013,31.04482603755404,-0.5185808815433415,0.8844498007025791,-3.481680886556941
TCF25,-7.767231955053697,15.05533931993662,-0.1366664616203886,0.42891823084851677,56.833489818653085
TUBB6,59.557391968752015,83.1759404804675,-1.0653116530752145,2.369636212237417,-55.90607386751928
DEF8,-3.6676694517929116,15.938107141876808,-0.14425786500088159,0.4540677943615221,25.42439853640214
MEOX1,82.16963766919957,82.68262665474913,-0.34813526142021267,2.3555819761366052,-236.02790861801745
SOST,-68.56352615264846,95.39615396753894,-0.3904563049320178,2.7177832873767316,175.59846079213918
NKX2-1,95.04118196730201,222.91773755807873,4.5901089448684615,6.350802169669571,20.70564840809581
